Case,No,Task,CC1,GN1,NS1,BU1,FA1,LD1,BZ1,FC1,FP1,RP1,PP1,KA1,SC1,TS1,NV1,MA1,LB1,AF1,HU1,Price1,CC2,GN2,NS2,BU2,FA2,LD2,BZ2,FC2,FP2,RP2,PP2,KA2,SC2,TS2,NV2,MA2,LB2,AF2,HU2,Price2,CC3,GN3,NS3,BU3,FA3,LD3,BZ3,FC3,FP3,RP3,PP3,KA3,SC3,TS3,NV3,MA3,LB3,AF3,HU3,Price3,CC4,GN4,NS4,BU4,FA4,LD4,BZ4,FC4,FP4,RP4,PP4,KA4,SC4,TS4,NV4,MA4,LB4,AF4,HU4,Price4,segment,segmentind,year,yearind,miles,milesind,milesa,night,nightind,nighta,ppark,pparkind,gender,genderind,age,ageind,agea,educ,educind,region,regionind,Urb,Urbind,income,incomeind,incomea,Ch1,Ch2,Ch3,Ch4
1136,21576,11,0,1,0,1,0,0,3,0,4,0,1,0,2,0,1,1,1,0,0,6,0,2,0,6,0,0,3,0,1,0,2,0,4,0,1,4,3,0,0,6,0,2,0,4,0,0,3,0,3,0,2,0,4,0,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21577,12,1,0,5,0,0,3,3,2,0,0,3,0,3,3,0,0,1,0,0,2,2,0,1,0,0,1,1,2,0,0,1,0,4,3,0,0,1,0,0,9,1,0,1,0,0,3,2,1,0,0,2,0,4,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21578,13,1,0,0,0,2,2,0,0,0,1,0,2,1,0,0,4,0,3,2,2,1,0,0,0,1,1,0,0,0,1,0,2,4,0,0,3,0,3,2,5,2,0,0,0,1,3,0,0,0,2,0,2,3,0,0,4,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21579,14,0,2,0,0,0,0,2,2,0,2,0,2,0,1,3,0,4,3,0,11,0,1,0,0,0,0,1,1,0,2,0,2,0,3,2,0,4,1,0,11,0,1,0,0,0,0,1,2,0,2,0,1,0,2,3,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21580,15,0,0,4,6,1,0,0,1,4,2,2,0,0,0,0,2,0,0,2,11,0,0,3,1,1,0,0,2,3,1,1,0,0,0,0,4,0,0,2,2,0,0,2,1,1,0,0,1,1,1,3,0,0,0,0,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21581,16,0,2,5,0,0,3,1,0,1,0,3,2,0,0,0,0,0,1,1,4,0,1,1,0,0,2,3,0,3,0,3,2,0,0,0,0,0,2,2,12,0,2,4,0,0,1,2,0,3,0,3,1,0,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21582,17,3,0,5,1,2,0,0,0,0,0,0,0,1,2,3,3,4,0,0,10,1,0,3,6,1,0,0,0,0,0,0,0,2,2,1,2,2,0,0,10,3,0,3,6,2,0,0,0,0,0,0,0,3,3,1,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21583,18,2,0,0,0,1,0,1,1,2,0,3,2,0,1,3,0,0,0,0,10,2,0,0,0,2,0,1,1,1,0,3,2,0,2,2,0,0,0,0,11,3,0,0,0,1,0,2,2,3,0,1,2,0,2,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1136,21584,19,0,2,0,2,0,1,1,0,0,2,0,0,0,0,0,2,1,3,1,8,0,1,0,1,0,2,3,0,0,2,0,0,0,0,0,2,3,1,2,7,0,1,0,4,0,3,3,0,0,2,0,0,0,0,0,4,4,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prestige Luxury Sedan,5,2004,5,51 To 100 Miles,2,100,51% To 60%,6,60,Weekly,4,Male,2,Under 30,1,23,College Graduate (4 Years),1,NE,2,Rural/Country,1,"$60,000 to $69,999",5,60540,,,,
1137,21585,1,0,2,4,0,0,0,0,1,3,1,0,0,3,2,0,0,1,0,2,4,0,2,1,0,0,0,0,1,1,1,0,0,1,3,0,0,3,0,1,5,0,1,2,0,0,0,0,1,2,2,0,0,2,2,0,0,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21586,2,0,0,0,3,2,2,0,0,0,1,3,1,3,0,3,0,0,2,0,3,0,0,0,6,2,2,0,0,0,1,2,2,1,0,1,0,0,3,0,2,0,0,0,1,1,2,0,0,0,2,2,1,3,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21587,3,2,2,0,1,0,0,0,0,0,0,3,2,0,0,3,3,1,0,2,10,2,2,0,2,0,0,0,0,0,0,2,1,0,0,2,4,3,0,2,2,3,2,0,3,0,0,0,0,0,0,1,1,0,0,1,4,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21588,4,3,0,0,0,1,3,2,2,4,0,0,0,3,0,0,3,0,2,0,12,1,0,0,0,2,2,2,2,4,0,0,0,1,0,0,1,0,1,0,10,2,0,0,0,2,1,2,2,4,0,0,0,2,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21589,5,2,0,5,3,0,0,2,0,0,1,3,0,0,3,0,1,0,1,0,5,2,0,4,2,0,0,2,0,0,1,3,0,0,2,0,4,0,2,0,10,2,0,3,2,0,0,1,0,0,1,2,0,0,2,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21590,6,0,2,1,0,1,2,0,0,4,0,0,1,4,3,1,0,0,0,0,12,0,1,2,0,2,1,0,0,3,0,0,1,2,2,1,0,0,0,0,8,0,2,3,0,1,1,0,0,3,0,0,2,3,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21591,7,0,2,0,0,2,0,0,1,0,0,3,0,1,0,3,0,2,1,2,10,0,2,0,0,1,0,0,2,0,0,2,0,1,0,2,0,3,2,2,5,0,1,0,0,1,0,0,1,0,0,2,0,4,0,2,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21592,8,2,0,0,6,0,1,0,1,4,2,0,2,0,1,0,0,1,0,0,10,2,0,0,2,0,3,0,1,4,2,0,2,0,2,0,0,4,0,0,7,3,0,0,1,0,1,0,1,2,2,0,2,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21593,9,0,0,4,0,0,0,3,1,0,2,0,0,1,2,2,3,0,0,2,1,0,0,5,0,0,0,1,2,0,2,0,0,4,3,2,3,0,0,1,3,0,0,3,0,0,0,1,1,0,1,0,0,1,1,1,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21594,10,3,2,4,2,2,0,2,0,2,0,0,0,0,0,0,0,0,3,2,8,3,2,4,4,1,0,2,0,1,0,0,0,0,0,0,0,0,2,2,9,2,2,3,4,2,0,1,0,2,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21595,11,0,0,0,0,1,3,2,0,0,2,3,1,0,2,0,3,2,0,0,5,0,0,0,0,1,1,3,0,0,1,2,2,0,3,0,1,3,0,0,7,0,0,0,0,2,3,2,0,0,1,2,2,0,2,0,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21596,12,3,0,2,0,0,0,0,0,2,0,0,1,1,0,1,4,2,1,0,6,3,0,3,0,0,0,0,0,1,0,0,1,2,0,3,2,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,2,3,0,2,1,4,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21597,13,0,1,0,4,0,1,3,1,0,0,1,2,3,0,0,0,0,0,2,4,0,1,0,4,0,2,3,2,0,0,1,1,4,0,0,0,0,0,2,4,0,2,0,6,0,3,3,2,0,0,3,2,4,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21598,14,0,1,4,5,2,1,0,2,0,0,0,0,0,0,0,2,3,3,0,6,0,2,5,1,1,1,0,2,0,0,0,0,0,0,0,3,2,2,0,2,0,2,1,2,1,2,0,2,0,0,0,0,0,0,0,4,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21599,15,3,0,0,0,2,0,0,0,1,2,2,0,0,1,2,0,0,2,2,2,3,0,0,0,2,0,0,0,1,1,1,0,0,3,2,0,0,3,1,1,3,0,0,0,2,0,0,0,1,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21600,16,3,2,0,0,0,2,0,0,3,0,3,0,3,0,0,1,1,0,2,11,3,1,0,0,0,3,0,0,4,0,2,0,1,0,0,3,1,0,2,9,2,2,0,0,0,1,0,0,3,0,2,0,2,0,0,2,3,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21601,17,0,0,5,3,0,0,3,1,0,1,0,2,0,2,2,0,0,0,2,12,0,0,5,3,0,0,2,2,0,2,0,1,0,2,1,0,0,0,2,8,0,0,4,2,0,0,1,2,0,2,0,1,0,1,2,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21602,18,0,2,0,2,2,1,0,2,1,2,0,0,0,0,3,1,0,0,0,10,0,2,0,5,1,3,0,2,3,1,0,0,0,0,3,4,0,0,0,1,0,1,0,3,2,3,0,1,2,2,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1137,21603,19,1,0,4,0,0,0,2,0,0,0,1,1,4,1,0,0,1,2,0,4,1,0,5,0,0,0,1,0,0,0,2,2,4,1,0,0,3,3,0,11,2,0,1,0,0,0,1,0,0,0,1,2,4,3,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2003,4,51 To 100 Miles,2,70,Under 10%,1,10,Weekly,4,Male,2,60 & Over,5,60,Some College (1-3 Years),5,SE,3,Rural/Country,1,"Under $29,999",1,14000,,,,
1138,21604,1,0,0,3,4,2,3,0,2,0,0,2,0,0,3,0,3,0,0,2,11,0,0,5,3,2,3,0,2,0,0,3,0,0,1,0,3,0,0,1,4,0,0,1,6,2,3,0,1,0,0,3,0,0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21605,2,0,1,0,0,0,0,0,0,3,2,3,2,1,0,3,0,4,2,0,2,0,1,0,0,0,0,0,0,2,1,3,2,2,0,1,0,4,2,0,10,0,2,0,0,0,0,0,0,3,2,3,2,3,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21606,3,3,0,0,1,0,2,0,1,0,1,2,0,3,0,0,4,0,2,0,7,2,0,0,6,0,1,0,1,0,2,3,0,3,0,0,3,0,3,0,12,3,0,0,4,0,3,0,2,0,2,3,0,4,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21607,4,2,2,2,0,1,0,0,0,4,0,0,2,0,0,1,0,2,0,2,3,3,1,4,0,2,0,0,0,1,0,0,2,0,0,1,0,2,0,2,11,2,2,5,0,2,0,0,0,2,0,0,2,0,0,2,0,3,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21608,5,2,2,3,1,0,0,3,0,1,0,2,0,1,1,0,0,0,0,0,4,3,1,3,1,0,0,2,0,1,0,3,0,3,1,0,0,0,0,0,4,1,2,2,4,0,0,3,0,3,0,3,0,3,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21609,6,0,0,0,0,1,2,2,0,0,1,0,0,0,2,1,0,1,3,2,12,0,0,0,0,2,2,3,0,0,2,0,0,0,1,1,0,2,3,1,10,0,0,0,0,2,3,3,0,0,2,0,0,0,1,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21610,7,0,2,0,0,2,0,0,1,0,1,3,2,0,3,0,3,1,0,0,3,0,2,0,0,1,0,0,2,0,1,1,1,0,2,0,1,4,0,0,4,0,1,0,0,1,0,0,2,0,2,3,1,0,2,0,2,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21611,8,2,0,0,3,0,0,1,1,2,0,0,2,0,0,0,4,0,2,2,10,3,0,0,2,0,0,2,2,1,0,0,2,0,0,0,4,0,1,2,12,2,0,0,5,0,0,1,2,1,0,0,2,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
1138,21612,9,0,0,4,0,0,3,0,0,0,0,0,1,4,2,2,1,0,2,2,1,0,0,1,0,0,2,0,0,0,0,0,1,4,1,3,3,0,2,1,4,0,0,3,0,0,2,0,0,0,0,0,2,4,1,2,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-size Pickup,1,2000,1,251 To 300 Miles,6,300,41% To 50%,5,50,Yearly,5,Male,2,50 To 59,4,52,High School,3,MW,1,Suburban,2,"$90,000 to $99,999",8,98000,,,,
